             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          56156169    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156168    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156167    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156166    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156165    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156164    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156163    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56156162    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154844    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154843    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154842    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154839    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154838    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154837    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154836    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154835    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154834    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154833    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154832    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154831    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154830    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154829    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154828    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154827    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154774    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154773    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154772    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154771    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154770    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154769    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154768    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154767    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56154766    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153760    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153759    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153758    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153757    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153754    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153753    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153752    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153751    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153750    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153749    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153748    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153747    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153746    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153745    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153744    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153743    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153742    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153429    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153428    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153427    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153426    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153425    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153424    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153423    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153422    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153420    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153419    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153417    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153416    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56153415    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152405    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152404    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152403    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152402    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152401    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152399    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152398    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152397    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152396    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152395    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152394    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152393    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152392    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152389    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152388    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152387    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152386    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152385    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152384    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152383    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152382    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152380    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152379    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152378    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152376    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152375    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152372    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152371    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152370    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152369    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152368    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152367    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152366    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152365    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152364    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152363    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152362    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
          56152361    ampere RPA-meta    nco24 PD       0:00      1 (Dependency)
